Date publication;Type de publication;Titre;Libellé recommandation;Destinataire 1;Destinataire 2;Destinataire 3
18/09/2015;RALFSS;L'accès aux soins des ménages défavorisés : un bilan en demi-teinte, une action à mieux cibler;Favoriser le recours à la CMU-C et à l'ACS en interrogeant les fichiers des administrations sur un champ élargi, en assurant le recueil exhaustif des demandes de CMU-C lors de l'instruction des demandes de RSA et en rendant obligatoire l'engagement par les caisses d'assurance maladie d'une démarche systématique de promotion de la CMU-C et de l'ACS auprès des publics concernés.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Fonds de financement de la protection complémentaire de la couverture universelle
18/09/2015;RALFSS;L'accès aux soins des ménages défavorisés : un bilan en demi-teinte, une action à mieux cibler;En fonction de la réalisation des risques de déséquilibre financier, envisager l'harmonisation des ressources prises en compte pour attribuer la CMU-C et l'ACS avec celles intégrées au seuil de pauvreté monétaire, (987 ? mensuels en 2012, dernière année connue) ainsi que l'alignement du plafond de l'ACS sur ce dernier.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Fonds de financement de la protection complémentaire de la couverture universelle
18/09/2015;RALFSS;L'accès aux soins des ménages défavorisés : un bilan en demi-teinte, une action à mieux cibler;Dans l'éventualité où les études à mener feraient apparaître une surconsommation de soins gratuits, mettre en ?uvre des actions de gestion du risque ciblées sur les postes de dépenses concernés et examiner l'éventualité d'une redéfinition des prises en charge au titre de la CMU-C et de l'ACS.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Fonds de financement de la protection complémentaire de la couverture universelle
18/09/2015;RALFSS;L'accès aux soins des ménages défavorisés : un bilan en demi-teinte, une action à mieux cibler;Refondre le processus d'instruction des demandes de CMU-C et d'ACS, en mettant en place un nouvel outil informatique et en exploitant les possibilités offertes par la déclaration sociale nominative et par la mutualisation généralisée de l'information relative aux prestations sociales dans le cadre du répertoire national commun de la protection sociale.;Ministère chargé de la Santé et des affaires sociales; ; 
18/09/2015;RALFSS;L'accès aux soins des ménages défavorisés : un bilan en demi-teinte, une action à mieux cibler;Assurer la transparence sur les fréquences d'anomalies détectées dans le cadre des contrôles sur la situation des bénéficiaires de la CMU-C, ainsi que l'évaluation du risque financier qui en résulte.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Fonds de financement de la protection complémentaire de la couverture universelle
18/09/2015;RALFSS;L'accès aux soins des ménages défavorisés : un bilan en demi-teinte, une action à mieux cibler;Assurer l'effectivité des tarifs opposables aux professionnels de santé pour les titulaires de la CMU-C et de l'ACS, en prenant les textes réglementaires nécessaires à l'application des dispositions de la loi du 21 juillet 2009 portant réforme de l'hôpital et relative aux patients, à la santé et aux territoires qui sanctionnent les refus de soins (recommandation réitérée).;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Fonds de financement de la protection complémentaire de la couverture universelle
18/09/2015;RALFSS;L'insuffisance rénale chronique terminale : favoriser des prises en charge plus efficientes;Substituer aux différents forfaits de rémunération en vigueur un tarif unique par patient dialysé, comportant des majorations et minorations en fonction notamment de l'état du patient (âge, autonomie, polypathologies, stabilité de la situation de santé) et des résultats des traitements (en utilisant les indicateurs développés par la HAS) et y intégrer les frais de transport, les examens biologiques et les supplémentations nutritionnelles destinées à remédier aux carences liées au traitement.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS; 
18/09/2015;RALFSS;L'insuffisance rénale chronique terminale : favoriser des prises en charge plus efficientes;Réduire significativement les tarifs des séances de dialyse en centres lourds et en unités de dialyse médicalisée afin de favoriser la prise en charge des patients par les structures les plus efficientes et fixer des normes de qualité des soins à atteindre, plutôt que des obligations de moyens à respecter.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Agence technique de l'information sur l'hospitalisation
18/09/2015;RALFSS;L'insuffisance rénale chronique terminale : favoriser des prises en charge plus efficientes;Assurer une complète transparence des conditions financières de fonctionnement de l'ensemble des structures de dialyse, en rendant obligatoire la communication à l'agence technique de l'information hospitalière des données comptables des structures privées.;Ministère chargé de la Santé et des affaires sociales;Agence de biomédecine; 
18/09/2015;RALFSS;L'insuffisance rénale chronique terminale : favoriser des prises en charge plus efficientes;Améliorer l'information des patients sur les greffons qui leur sont proposés (communication des caractéristiques du greffon), sur les délais probables d'attente d'une greffe en fonction de leur situation (âge, état de santé, région) et sur les indicateurs de qualité des structures de dialyse.;Ministère chargé de la Santé et des affaires sociales;Haute autorité de santé;Agence de biomédecine
