"publication";"titre";"destination"
"1";"RALFSS";"accès action bilan cibler défavorisés demi menages mieux soins teinte";"Ministère chargé de la Santé et des affaires sociales"
"2";"RALFSS";"charge chronique efficientes favoriser insuffisance plus prises renale terminale";"Ministère chargé de la Santé et des affaires sociales"
"3";"RALFSS";"assurance conditionnée croissance depenses dynamique économies maladie national objectif ralentissement réalisation soutenue structurelles toujours trajectoire";"Ministère chargé de la Santé et des affaires sociales"
"4";"RALFSS";"comptes confirmer établissements exigence pleinement publics qualite santé";"Ministère chargé de la Santé et des affaires sociales"
"5";"RALFSS";"caisses général impossible mouvement quo régime reorganisation réseaux significatif statu";"Ministère chargé de la Santé et des affaires sociales"
"6";"RALFSS";"déficits équilibre financières limitée objectif perspectives réduction reporté retrour securité situation sociale";"Ministère chargé de la Santé et des affaires sociales"
"7";"RALFSS";"central nécessaire organisation pilotage refonte soins strategie système";"Ministère chargé de la Santé et des affaires sociales"
"8";"RALFSS";"cancer centres contre lutte offre positionnement redefinir soins";"Ministère chargé de la Santé et des affaires sociales"
"9";"RALFSS";"cohérence cotisations déclin financement lisibilité place prepondrante réablir sécurité sociale sociales";"Ministère chargé de la Santé et des affaires sociales"
"10";"RALFSS";"délai depenses exercice infirmierts kinésithérapie libéral masso mesures non prendre progression régulation soins trisée";"Ministère chargé de la Santé et des affaires sociales"
"11";"RALFSS";"activement maternites poursuivre réorganisation";"Ministère chargé de la Santé et des affaires sociales"
"12";"RALFSS";"avis cohérence equilibre patrimonial relatifs sécuité sociale tableau tableaux";"Ministère chargé de la Santé et des affaires sociales"
"13";"RALFSS";"ans bilan decevant offre recomposition soins territoriale vingt";"Ministère chargé de la Santé et des affaires sociales"
"14";"RBDE";"budget etat gestion resultats";"Ministère chargé du Budget et des comptes publics"
"15";"RPA T1";"concurrence électricité marche ouverture";"Ministère chargé de l'Écologie et du développement durable"
"16";"RPA T1";"cese gestion";"CESE"
